ITEM,ProductId,Price,Categories,Recommended Size,Unique Size ,Unique Categories
shrimp,205616461,170,meat,1 Kg Packet,1 Kg Packet,meat
almonds,558925278,277,dry fruit,1 Kg Packet,0.5 Kg Packet,dry fruit
avocado,733001998,226,fresh produce,1 Kg Packet,Small Can,fresh produce
vegetables mix,737104473,227,fresh produce,1 Kg Packet,Small Jar,essentials
green grapes,762451459,254,fresh produce,1 Kg Packet,1 L Bottle,dairy
whole weat flour,1304139212,131,essentials,1 Kg Packet,1 Piece,beverage
yams,1304139220,279,fresh produce,1 Kg Packet,5 Kg Packet,ready to eat
cottage cheese,1304140894,270,dairy,0.5 Kg Packet,Small Pack,extras
energy drink,1304146434,235,beverage,Small Can,1 Crate,
tomato juice,1304146537,220,beverage,Small Can,Medium Pack,
low fat yogurt,1304146744,130,dairy,Small Can,Small Box,
green tea,1304168522,271,beverage,Small Can,1 Packet,
honey,1304174778,108,ready to eat,Small Jar,100 gm Packet,
salad,1304174867,270,fresh produce,0.5 Kg Packet,Large Can,
mineral water,1304174905,151,beverage,1 L Bottle,Large Box,
salmon,1304196046,260,meat,0.5 Kg Packet,1 Box,
antioxydant juice,1304196062,127,beverage,Small Can,1 Loaf,
frozen smoothie,1304196070,129,beverage,Small Can,2 Piece,
spinach,1304196135,114,fresh produce,1 Kg Packet,2 L Bottle,
olive oil,1304351475,268,essentials,1 L Bottle,,
burgers,1304482596,270,ready to eat,1 Piece,,
chutney,1304482634,170,ready to eat,Small Jar,,
turkey,1304482685,159,meat,1 Kg Packet,,
whole wheat essentials,1304488608,161,essentials,5 Kg Packet,,
soup,1304495396,164,ready to eat,Small Can,,
frozen vegetables,1304511073,160,fresh produce,1 Kg Packet,,
french fries,1304511081,280,ready to eat,Small Pack,,
eggs,1304511111,257,meat,1 Crate,,
cookies,1304511124,214,ready to eat,Small Pack,,
spaghetti,1304511138,297,essentials,Small Pack,,
meatballs,1304511146,212,ready to eat,Medium Pack,,
red wine,1304511154,184,beverage,1 L Bottle,,
rice,1304622193,126,essentials,1 Kg Packet,,
parmesan cheese,1304622223,256,dairy,0.5 Kg Packet,,
ground beef,1304622428,166,meat,1 Kg Packet,,
sparkling water,1304622452,278,beverage,1 L Bottle,,
herb & pepper,1304622460,255,essentials,Small Box,,
pickles,1304622622,167,ready to eat,Small Jar,,
energy bar,1304622657,285,ready to eat,1 Piece,,
fresh tuna,1304622665,200,meat,1 Kg Packet,,
escalope,1304624498,291,meat,1 Kg Packet,,
tomato sauce,1304624544,236,ready to eat,1 L Bottle,,
clothes accessories,1304651029,209,extras,1 Piece,,
chocolate,1304651088,225,ready to eat,1 Piece,,
grated cheese,1304651104,287,dairy,0.5 Kg Packet,,
yogurt cake,1304651118,282,ready to eat,1 Packet,,
mint,1304651347,220,essentials,100 gm Packet,,
asparagus,1304665704,233,fresh produce,1 Kg Packet,,
champagne,1304665720,296,beverage,1 L Bottle,,
ham,1304665784,238,meat,1 Kg Packet,,
muffins,1403790965,278,ready to eat,1 Packet,,
french wine,1412759676,232,beverage,1 L Bottle,,
chicken,1451646526,194,meat,1 Kg Packet,,
essentials,1457982633,146,essentials,1 Packet,,
tomatoes,1572671203,180,fresh produce,1 Kg Packet,,
panready to eat,1879187396,149,ready to eat,1 Packet,,
carrots,1906987238,287,fresh produce,1 Kg Packet,,
shallot,1929099886,203,fresh produce,1 Kg Packet,,
butter,1987958179,237,dairy,100 gm Packet,,
light mayo,3222000565,124,dairy,Small Jar,,
pepper,3227000754,228,essentials,Small Box,,
candy bars,3227001055,191,ready to eat,1 Piece,,
cooking oil,3227001381,206,essentials,1 L Bottle,,
milk,3292000971,257,dairy,1 L Bottle,,
bug spray,3423470476,188,extras,Large Can,,
oil,3602116004,277,essentials,1 L Bottle,,
cake,4057362797,116,ready to eat,1 Packet,,
