ITEM,ProductId,Rating,UserId
toothpaste,6175005570,5,A39HTATAQ9V7YF
whole wheat pasta,1304488608,2,A3JM6GV9MNOF9X
white wine,6167061580,4,A1Z513UWSAAO0F
grated cheese,1304651104,3,A1WMRR494NWEWV
whole weat flour,1304139212,4,A3IAAVS479H7M7
eggplant,5357955867,2,AKJHHD5VEH7VG
burger sauce,5357955454,2,A1BG8QW55XHN6U
french wine,1412759676,5,A22VW0P4VZHDE3
cauliflower,6165151329,1,A3V3RE4132GKRO
yams,1304139220,4,A327B0I7CYTEJC
low fat yogurt,1304146744,2,AIFAAVTUYHEHB
water spray,7842953384,2,AVOGV98AYOFG2
whole wheat pasta,1304488608,4,A6R426V4J7AOM
burgers,1304482596,3,AKGB62WGF35J8
frozen smoothie,1304196070,3,A3A4C2K3TWDAO5
carrots,1906987238,4,A3FV2Q7WPZMQPV
light mayo,3222000565,5,A1RXI3A1E99112
low fat yogurt,1304146744,1,A26QL1FBQO9C0E
chocolate,1304651088,5,A19KEEVZYO1KO6
french wine,1412759676,2,A1F6HRR58TQ2R0
spinach,1304196135,5,AVQP6PO1NK0IJ
frozen vegetables,1304511073,3,A32IWHU4TUEQZR
toothpaste,6175005570,3,ASPJCWRXUOYYY
yams,1304139220,2,A1LAW520BT5AM0
cottage cheese,1304140894,4,A3SWQ2QQ7JBPFA
fromage blanc,6022600804,5,A2D7CPCZH5VFVZ
energy bar,1304622657,4,A274NIJWOQWE30
whole wheat pasta,1304488608,2,A2OMU0R0VM5O9I
green grapes,762451459,3,A2YFDS6DYGFLVQ
frozen vegetables,1304511073,2,AKA7T9TPISJ26
mint green tea,6117036094,1,AN33X95J5460X
ham,1304665784,1,A2UEOW698J0SSR
bacon,6152000416,1,A22ZFXQE8AWPEP
eggplant,5357955867,5,A9ZNJ2AXPO652
whole wheat pasta,1304488608,1,A169NC0ZW6XKRD
herb & pepper,1304622460,5,AZWRTJPN7NXT
yogurt cake,1304651118,1,AH344ZAN5GNOM
sparkling water,1304622452,5,A1YQUT1H2ENJ8U
red wine,1304511154,5,A3C744AK5A6MMI
hot dogs,4057362894,2,A2H6SFTV2892Z8
sparkling water,1304622452,3,A225CH9TTQPC4B
avocado,733001998,4,A2F6NPTGDMFXN9
gluten free bar,6041134473,1,A1DC0DSF3H3BCW
frozen smoothie,1304196070,1,A3TR91FJ4MNFY9
escalope,1304624498,4,A3IANSH41YHFP1
mushroom cream sauce,5357955905,5,A2NRG4NQMLHDJQ
burger sauce,5357955454,4,A32G79IU2NJ2HS
cooking oil,3227001381,4,A3L2VTHD6W1E2Z
chili,6041134494,4,A15THVWZS6GQZY
escalope,1304624498,2,A1VCW66KPTNUV8
tomato sauce,1304624544,1,AO5JB67V93FBL
bacon,6152000416,1,A1GWD6BDCLGC82
corn,6022600685,5,AJ85OD05LNNUY
whole wheat rice,4057363823,5,A1E5CS6UI1LWQF
tomato juice,1304146537,1,A1SWCNGOR3GMOQ
eggs,1304511111,1,A2IOZRH02O4C9S
low fat yogurt,1304146744,1,A1RGXKJ4RFIOCX
mint,1304651347,5,A11OEJ4R1PDTLN
shrimp,205616461,3,AZ4FR14IPKML7
cereals,5357955972,5,A251DS38L87XWF
mint,1304651347,4,A1Z03R982SX8V2
bacon,6152000416,3,A1ZY0K46FYOTB6
pet food,4057362967,2,A3MAATZ091QZGE
tomatoes,1572671203,3,A35XCJ5P6ZKRE9
magazines,4057553908,5,A2B3YKKXVN28TW
milk,3292000971,5,A2RDR51FRB58LD
salmon,1304196046,4,A2MSCG0YX85RL4
pancakes,1879187396,3,A2P8AUMTM6O605
salmon,1304196046,5,A3SN6TKIXQI7RP
bug spray,3423470476,3,A1MLJHYS35C4X6
mayonnaise,5357954771,3,A2FTLN4PYZE7S6
mushroom cream sauce,5357955905,5,ATPHIBSTV1NY5
magazines,4057553908,2,A1QWS6V26JZ5OX
energy bar,1304622657,2,A1VK4ALI1QOF5U
tomatoes,1572671203,3,A1GIXQUBPA0DPT
bramble,5357955743,2,A22L53OZ7IDQX3
energy drink,1304146434,5,AAOU507M8SF9E
cookies,1304511124,2,A2DIOCFQZQFD9O
sparkling water,1304622452,4,A17Z7DO3IFHZOE
cream,7535842801,4,A120LZ9VNR3YI0
cookies,1304511124,2,A39QH03VD9U048
grated cheese,1304651104,5,A95YCV8FK2LCM
fresh tuna,1304622665,4,AP57TEKK91CIM
white wine,6167061580,4,A3OQ3FVYBU7SBD
pasta,1457982633,2,A2GDJP70RVLDKY
yogurt cake,1304651118,5,A2BQ8DVGEGWAFY
shallot,1929099886,3,A2A0EW34FZH9Z7
melons,6175005589,1,A1D6UAVLQUS41B
pasta,1457982633,4,A2VRUBSVHDDOU9
water spray,7842953384,5,A276N142RFK6EF
babies food,6169040335,2,A2HNQ3JHXDSVMW
cream,7535842801,3,ADURH4ZDRMZV6
mashed potato,6040652705,5,AXVLSEEYTC4Z9
salt,4057362843,4,AGGXC77INUISD
french wine,1412759676,3,A10REFE1TW3ZVT
carrots,1906987238,5,A3M7ROZKQW6F69
clothes accessories,1304651029,1,A271KYL82709TY
mint green tea,6117036094,3,A1OON4OPP58E26
fromage blanc,6022600804,2,A3COLQK8Y9V9A5
nonfat milk,5357955751,4,A28H0PAQPYKN94
shampoo,6162071103,5,AYI1LDJYGG0ZK
green beans,5357955786,1,A3T5EYVSBN3QQX
gluten free bar,6041134473,5,A3E4N6O6WC8LEX
extra dark chocolate,6165290582,3,A30IURTQM5NNA4
red wine,1304511154,3,A100GYE1W4OXZ8
tea,7883527428,4,A1ZWS1H6H06Y2J
eggplant,5357955867,4,A3BMQUL5QATQIW
barbecue sauce,6041134511,4,AI5JNFT6YBQQY
french fries,1304511081,4,A2H79ANDK766S1
cookies,1304511124,4,A3LO1A9N0F0TXE
whole wheat rice,4057363823,3,A2JYNUBR7H2W41
oatmeal,7800558258,2,A2O9UKJ2FR0GZ4
magazines,4057553908,1,A1O5Z4ZKPMHORQ
cottage cheese,1304140894,4,A366PG2T9L9VSW
asparagus,1304665704,1,A11AT6B3912DCU
nonfat milk,5357955751,4,A2RCLQ2PS3PN8H
cake,4057362797,5,A445U3NN5XBYK
magazines,4057553908,4,A3GAMJUEB4A4J9
chutney,1304482634,2,A7BCFTL2PU1NZ
blueberries,6162751473,2,A87X19PQJFYFA
barbecue sauce,6041134511,5,A2F5SHIP4HF9
salmon,1304196046,1,A305WEYT5UZKCZ
chicken,1451646526,3,A2E8U0H25VGG3O
mayonnaise,5357954771,1,A2S1HDSZ0OGW1M
shrimp,205616461,3,AFRE5F3MKUKME
green grapes,762451459,2,A11Q1HQ84F8POH
red wine,1304511154,4,A2CCV112TWLK7A
whole wheat pasta,1304488608,3,A2099WPFJKJKZC
eggplant,5357955867,3,A1T8YQ4FFMWQPC
strong cheese,4057362886,1,AZLE2XFH3JUNG
eggs,1304511111,3,A99JEK1Z8S1T0
whole wheat pasta,1304488608,2,A2OCBW6UQ8GS7L
antioxydant juice,1304196062,3,AI6IXAB24N30W
salmon,1304196046,1,A2GPHFP5QKF0CO
black tea,6117043058,3,A2ZZ26N7K9BSFB
pepper,3227000754,3,A1MID7V80H36FX
